t(с) V(м/с) X(м) Y(м) mass(кг) Cx Cya teta(град) mzCy
0 35 0 15 1704,97 0,2882 0,188045 0,265296 -0,221308
0,5 74,0235 16,8878 19,5884 1654,11 0,281775 0,188072 0,265277 -0,221686
1 114,238 52,6048 29,292 1603,25 0,279418 0,183827 0,265236 -0,222062
1,5 155,681 107,726 44,265 1552,4 0,274725 0,181421 0,265173 -0,222437
2 198,394 182,846 64,6652 1501,54 0,269831 0,17886 0,265088 -0,221302
2,5 242,418 278,578 90,6542 1450,68 0,263917 0,176915 0,264979 -0,219015
3 287,794 395,557 122,397 1399,82 0,257327 0,175158 0,264845 -0,216074
3,5 334,569 534,436 160,064 1348,97 0,25016 0,173582 0,264687 -0,211119
4 382,786 695,895 203,827 1298,11 0,242689 0,172017 0,264503 -0,204008
4,5 432,658 880,632 253,862 1247,25 0,235065 0,170393 0,264292 -0,200809
5 484,112 1089,45 310,373 1196,4 0,227375 0,168634 0,264054 -0,197388
5,5 537,382 1323,12 373,549 1145,54 0,219637 0,16668 0,263787 -0,193718
6 592,524 1582,51 443,607 1094,68 0,211915 0,16447 0,263491 -0,189785
6,5 649,687 1868,55 520,769 1043,82 0,204266 0,16198 0,263165 -0,185574
7 708,986 2182,21 605,273 992,968 0,196719 0,159212 0,262807 -0,181058
7,5 770,604 2524,53 697,368 942,111 0,189272 0,156186 0,262416 -0,175819
8 834,783 2896,64 797,321 891,253 0,182061 0,152913 0,261991 -0,169719
8,5 901,823 3299,79 905,427 840,396 0,175336 0,149358 0,261531 -0,162962
9 971,965 3735,37 1022,01 789,539 0,16906 0,14547 0,261033 -0,156117
9,5 1045,56 4204,89 1147,44 738,682 0,162998 0,14123 0,260497 -0,149196
10 1123,06 4710,03 1282,08 687,825 0,157174 0,136658 0,25992 -0,142222
10,5 1205,02 5252,7 1426,4 636,968 0,1518 0,131818 0,259299 -0,13522
11 1292,17 5835,07 1580,88 586,111 0,146852 0,12681 0,258633 -0,126572
11,5 1383,59 6459,66 1746,13 541,158 0,142294 0,121742 0,257918 -0,116988
12 1480,46 7128,58 1922,58 541,158 0,138295 0,116707 0,257153 -0,106895
12,5 1575 7844,47 2110,84 541,158 0,134769 0,111785 0,256333 -0,0957829
13 1667,43 8606,23 2310,5 541,158 0,131453 0,107038 0,25546 -0,0848606
13,5 1754,99 9412,89 2521,17 541,158 0,128197 0,102502 0,254536 -0,0738415
14 1840,51 10262,1 2742,12 541,158 0,125057 0,0981921 0,253562 -0,062683
14,5 1924,21 11152,9 2972,97 541,158 0,122265 0,0941073 0,25254 -0,0509892
15 2002,38 12084,5 3213,37 541,158 0,119806 0,0902463 0,251471 -0,039315
15,5 2078,94 13054,2 3462,49 541,158 0,117462 0,0866051 0,250357 -0,0274263
16 2154,05 14061,3 3720,02 541,158 0,115271 0,0831686 0,249199 -0,0152483
16,5 2227,92 15105,1 3985,65 541,158 0,113429 0,0799178 0,247999 -0,00264988
17 2300,75 16184,9 4259,08 541,158 0,111883 0,0768402 0,246757 0,0103969
17,5 2367,41 17300,5 4540,07 541,158 0,110407 0,0739261 0,245472 0,0233223
18 2433,26 18448,7 4827,73 541,158 0,108868 0,0711615 0,244149 0,0367719
18,5 2498,44 19629,2 5121,83 541,158 0,107178 0,068531 0,242788 0,0508339
19 2563,14 20841,8 5422,15 541,158 0,105455 0,0660157 0,24139 0,0656066
19,5 2621,2 22086,2 5728,52 541,158 0,103978 0,0635975 0,239953 0,080227
20 2679 23359,3 6039,99 541,158 0,102928 0,061265 0,238482 0,0956288
20,5 2736,66 24660,9 6356,42 541,158 0,102589 0,0590529 0,236977 0,111925
21 2794,29 25991 6677,65 541,158 0,102828 0,0570848 0,235438 0,129234
21,5 2852,01 27349,6 7003,57 541,158 0,1029 0,055485 0,233865 0,147676
22 2909,96 28736,7 7334,03 541,158 0,102782 0,0542866 0,232258 0,167369
22,5 2960,73 30152,7 7668,93 541,158 0,103032 0,053471 0,230616 0,186961
23 3011,92 31593,8 8007,31 541,158 0,10394 0,0530035 0,228944 0,20812
23,5 2928,01 33060,5 8349,08 541,158 0,105673 0,0528395 0,22724 0,0550554
24 2843,53 34486,9 8678,91 541,158 0,107792 0,0529435 0,225582 0,0420578
24,5 2779,67 35872,6 8996,92 541,158 0,109391 0,0532835 0,22397 0,0335844
25 2715,21 37227,7 9305,6 541,158 0,110388 0,0538076 0,222393 0,0245568
25,5 2650,29 38551,9 9605,04 541,158 0,111323 0,0544588 0,220851 0,0151053
26 2585,15 39844,9 9895,33 541,158 0,112515 0,0551984 0,219343 0,00535014
26,5 2520,29 41106,5 10176,6 541,158 0,114167 0,0559998 0,217872 -0,00454954
27 2456,14 42336,8 10449 541,158 0,115897 0,0568548 0,216436 -0,0144637
27,5 2406,72 43536,2 10712,7 541,158 0,116844 0,0577644 0,215035 -0,0214114
28 2357,44 44711,9 10969,5 541,158 0,116983 0,0587093 0,213661 -0,0285107
28,5 2308,25 45863,8 11219,4 541,158 0,1169 0,0596627 0,212314 -0,0357509
29 2259,37 46992 11462,6 541,158 0,11696 0,0606098 0,210994 -0,0430685
29,5 2211,01 48096,6 11699,2 541,158 0,117424 0,0615432 0,209701 -0,0504074
30 2163,34 49177,9 11929,3 541,158 0,11843 0,0624617 0,208435 -0,057721
30,5 2126,62 50236,2 12153,2 541,158 0,119986 0,0633684 0,207194 -0,0629417
31 2090,15 51276,7 12371,9 541,158 0,122053 0,0642679 0,205974 -0,0682111
31,5 2053,98 52299,7 12585,6 541,158 0,124547 0,0651653 0,204774 -0,0735064
32 2018,14 53305,3 12794,5 541,158 0,126909 0,0660738 0,203594 -0,078831
