t(с) V(м/с) X(м) Y(м) mass(кг) Cx Cya teta(град) mzCy
0 35 0 15 1641,23 0,212458 0,189922 0,265296 -0,218291
1 111,992 33,7755 24,1768 1592,92 0,202194 0,188008 0,265258 -0,218666
2 191,205 141,851 53,5365 1544,61 0,19546 0,183517 0,265134 -0,217942
3 272,574 326,375 103,64 1496,3 0,187327 0,180174 0,264924 -0,213224
4 356,026 589,439 175,009 1447,98 0,179709 0,176432 0,264624 -0,202111
5 441,639 933,072 268,127 1399,67 0,171869 0,172707 0,264232 -0,19657
6 529,171 1359,38 383,469 1351,36 0,164131 0,168689 0,263746 -0,19057
7 618,83 1870,26 521,423 1303,05 0,156425 0,164363 0,263163 -0,184088
8 710,63 2467,78 682,403 1254,74 0,148914 0,159601 0,262481 -0,177095
9 804,603 3154,07 866,795 1206,43 0,141762 0,15437 0,261697 -0,16893
10 900,943 3931,28 1074,96 1158,11 0,134973 0,148698 0,26081 -0,159119
11 999,866 4801,75 1307,28 1109,8 0,128506 0,142643 0,259815 -0,149486
12 1101,58 5768,06 1564,15 1061,49 0,122441 0,136284 0,25871 -0,138935
13 1206,33 6832,98 1845,97 1013,18 0,116806 0,129726 0,257491 -0,125159
14 1314,24 7999,53 2153,17 964,867 0,111602 0,123079 0,256155 -0,112084
15 1424,49 9270,89 2486,14 916,555 0,106722 0,116443 0,254699 -0,0996174
16 1538,51 10649,4 2845,05 868,243 0,10205 0,109892 0,253118 -0,0856782
17 1656,87 12138,9 3230,33 819,932 0,097636 0,103475 0,251408 -0,0705842
18 1778,05 13743,7 3642,5 771,62 0,0935945 0,0973086 0,249565 -0,054224
19 1904,6 15466,7 4081,65 723,308 0,0902257 0,0916584 0,247583 -0,0361291
20 2034,21 17313,2 4548,39 674,996 0,0878622 0,0867704 0,245458 -0,0161031
21 2170,76 19286,4 5042,71 626,685 0,0863755 0,0827594 0,243184 0,0061119
22 2315,69 21393,3 5565,42 578,373 0,0853288 0,0796476 0,240753 0,0313777
23 2465,16 23642,2 6117,55 535,507 0,0846383 0,0773721 0,238155 0,0599115
24 2379,53 26037,8 6699,11 535,507 0,0844923 0,075825 0,235384 -0,0920297
25 2295,78 28351,7 7254,06 535,507 0,0849505 0,0748955 0,232704 -0,0967744
26 2214,39 30585,6 7783,49 535,507 0,0860134 0,074477 0,230114 -0,102526
27 2135,85 32741,6 8288,56 535,507 0,0874009 0,0744796 0,227611 -0,108956
28 2072,13 34822,4 8770,52 535,507 0,0886134 0,0748264 0,225192 -0,113947
29 2010,09 36842,2 9233,21 535,507 0,0895878 0,0754383 0,222842 -0,119375
30 1949,79 38802,6 9677,44 535,507 0,0905749 0,0762441 0,220558 -0,125129
31 1891,43 40705,1 10104 535,507 0,0917169 0,0771927 0,21834 -0,131094
32 1835,15 42551,7 10513,7 535,507 0,0931062 0,0782481 0,216185 -0,137176
33 1781,03 44344,1 10907,4 535,507 0,0947833 0,0793865 0,214091 -0,142983
34 1736,25 46084,5 11285,8 535,507 0,0967329 0,0805919 0,212056 -0,14755
35 1692,76 47781,8 11651,2 535,507 0,0986868 0,0818559 0,21007 -0,152159
36 1650,56 49437,4 12004,2 535,507 0,100182 0,0831723 0,208131 -0,156786
37 1609,67 51052,3 12345,2 535,507 0,101197 0,0845213 0,206237 -0,161371
38 1570,13 52627,9 12674,9 535,507 0,102031 0,0858772 0,204389 -0,165797
39 1531,9 54165,3 12993,5 535,507 0,102871 0,0872214 0,202584 -0,170213
40 1494,99 55665,9 13301,8 535,507 0,10385 0,0885423 0,200821 -0,1746
41 1459,39 57130,8 13600 535,507 0,105038 0,0898344 0,199099 -0,17894
42 1429,32 58561,4 13888,6 535,507 0,106445 0,091097 0,197416 -0,18254
43 1400,1 59963 14169 535,507 0,108062 0,0923312 0,195766 -0,185877
44 1371,71 61336,3 14441,3 535,507 0,109859 0,0935397 0,194148 -0,189025
45 1344,13 62682,2 14706 535,507 0,111801 0,0947244 0,192561 -0,192127
46 1317,36 64001,5 14963,2 535,507 0,113849 0,0958854 0,191005 -0,195179
47 1291,39 65294,9 15213,3 535,507 0,115968 0,0970226 0,189478 -0,198176
48 1266,21 66563,2 15456,5 535,507 0,118126 0,0981364 0,187981 -0,201114
49 1241,79 67807,1 15693,1 535,507 0,120298 0,0992279 0,186511 -0,203993
